Cookies,Hardness,Crispiness,Sweetness,Overall Acceptability,Buying for toddler
Nutrinos,2.2,2.6,7.5,2,8
Nutrinos,5.6,4.8,7.5,7,7
Nutrinos,4.3,0.6,7.4,5,6
Nutrinos,2.3,2.3,5.9,5,8
Nutrinos,3.5,2.3,3.8,1,5
Nutrinos,2.5,0.2,6.5,7,4
Nutrinos,0,0,3.7,8,4
Nutrinos,0.7,0.9,8.9,1,5
Nutrinos,6,1,8,6,6
Nutrinos,6,4,6,4,3
Nutrinos,0,0,9,2,4
Nutrinos,4,3,8,9,4
Nutrinos,1,5,7,7,6
Nutrinos,6,1,6,6,1
Nutrinos,2,4,9,2,6
Nutrinos,1,5,4,9,5
Nutrinos,6,2,8,6,5
Nutrinos,6,3,8,5,4
Nutrinos,6,3,7,6,2
Nutrinos,0,5,9,3,9
 Safari,4,6,9,9,5
 Safari,6,7,8,8,3
 Safari,4,5,9,7,3
 Safari,5,6,9,9,4
 Safari,4,5,8,8,3
 Safari,4,6,9,9,3
 Safari,4,6,9,7,4
 Safari,7,5,7,8,3
 Safari,4,7,9,7,4
 Safari,4,6,8,8,4
 Safari,6,7,9,9,3
 Safari,5,7,9,9,5
 Safari,6,5,7,7,5
 Safari,6,7,7,9,4
 Safari,5,7,7,7,4
 Safari,4,7,7,8,5
 Safari,7,7,7,8,4
 Safari,4,6,8,9,4
 Safari,4,5,9,8,4
 Safari,7,5,7,9,4
Cerea,9,9,7,8,6
Cerea,7,9,9,7,4
Cerea,9,8,8,8,5
Cerea,8,8,8,7,4
Cerea,8,7,9,8,3
Cerea,9,9,9,8,3
Cerea,7,7,7,7,5
Cerea,8,9,8,7,5
Cerea,7,8,8,8,3
Cerea,9,8,8,7,3
Cerea,7,8,8,7,6
Cerea,8,7,9,7,6
Cerea,9,7,9,8,3
Cerea,7,7,7,8,5
Cerea,7,7,8,8,4
Cerea,9,8,7,7,5
Cerea,7,9,7,7,6
Cerea,7,7,9,7,5
Cerea,7,8,7,7,3
Cerea,8,7,9,8,3